date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:30	133/133	---M-Z	200	added ('OK')	text/plain	etag:%2296-5c13884450b40-gzip%22	https://khushii.org/robots.txt		(from )
18:54:31	119613/119613	---MCZ	200	added ('OK')	text/html	date:Sun,%2022%20Jan%202023%2013:24:34%20GMT	https://khushii.org/	C:/My%20Web%20Sites/khushi/khushii.org/index.html	(from )
18:54:31	1909/1909	---M--	200	added ('OK')	image/png	etag:%22775-5b2190035b6c0%22	https://khushii.org/wp-content/uploads/2020/10/favicon.png	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/uploads/2020/10/favicon.png	(from https://khushii.org/)
18:54:31	30982/30982	---M-Z	200	added ('OK')	text/css	etag:%227906-5b1b1cc91fac0-gzip%22	https://khushii.org/wp-content/themes/khushii/css/font-awesome.min.css	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/themes/khushii/css/font-awesome.min.css	(from https://khushii.org/)
18:54:31	89054/89054	---M-Z	200	added ('OK')	text/css	etag:%2215bde-5eadad71e2fec-gzip%22	https://khushii.org/wp-content/themes/khushii/css/style.css?ver8023	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/themes/khushii/css/style48bb.css	(from https://khushii.org/)
18:54:32	26190/26190	---M-Z	200	added ('OK')	text/css	etag:%22664e-5b68df71bee00-gzip%22	https://khushii.org/wp-content/themes/khushii/css/responsive1.css	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/themes/khushii/css/responsive1.css	(from https://khushii.org/)
18:54:32	12795/12795	---M-Z	200	added ('OK')	text/css	etag:%2231fb-5b240c1956dc0-gzip%22	https://khushii.org/wp-content/themes/khushii/css/fancybox.min.css	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/themes/khushii/css/fancybox.min.css	(from https://khushii.org/)
18:54:32	4198/4198	---M-Z	200	added ('OK')	text/css	etag:%221066-5c74c19645140-gzip%22	https://khushii.org/wp-content/themes/khushii/css/owl.carousel.css	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/themes/khushii/css/owl.carousel.css	(from https://khushii.org/)
18:54:33	63149/63149	---M--	200	added ('OK')	image/png	etag:%22f6ad-5b34122c2ef40%22	https://www.khushii.org/wp-content/themes/khushii/images/khushii-black-logo.png	C:/My%20Web%20Sites/khushi/www.khushii.org/wp-content/themes/khushii/images/khushii-black-logo.png	(from https://khushii.org/)
18:54:33	63149/63149	---M--	200	added ('OK')	image/png	etag:%22f6ad-5b93b43e76340%22	https://khushii.org/wp-content/uploads/2021/01/khushii-black-logo.png	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/uploads/2021/01/khushii-black-logo.png	(from https://khushii.org/)
18:54:33	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5dce6d9031540-gzip%22	https://khushii.org/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/plugins/contact-form-7/includes/css/styles5406.css	(from https://khushii.org/)
18:54:33	4224/4224	---M-Z	200	added ('OK')	text/css	etag:%221080-5ce9abadec3c0-gzip%22	https://khushii.org/wp-content/plugins/responsive-lightbox/assets/swipebox/swipebox.min.css?ver=2.3.3	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/plugins/responsive-lightbox/assets/swipebox/swipebox.minb6db.css	(from https://khushii.org/)
18:54:33	850/850	---M-Z	200	added ('OK')	text/css	etag:%22352-5cc02e4f7cfc0-gzip%22	https://khushii.org/wp-content/plugins/responsive-youtube-vimeo-popup/assets/css/wp-video-popup.css?ver=2.9.1	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/plugins/responsive-youtube-vimeo-popup/assets/css/wp-video-popupbf47.css	(from https://khushii.org/)
18:54:34	1519/1519	---M-Z	200	added ('OK')	text/css	etag:%225ef-5d1c0e08fcdc0-gzip%22	https://khushii.org/wp-content/plugins/add-to-any/addtoany.min.css?ver=1.15	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/plugins/add-to-any/addtoany.min9be6.css	(from https://khushii.org/)
18:54:34	3076/3076	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c04-5f1f2ae2e431b%22	https://static.addtoany.com/menu/page.js	C:/My%20Web%20Sites/khushi/static.addtoany.com/menu/page.js	(from https://khushii.org/)
18:54:34	89521/89521	---M-Z	200	added ('OK')	text/javascript	etag:%2215db1-5ce187dd1ed40-gzip%22	https://khushii.org/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/khushi/khushii.org/wp-includes/js/jquery/jquery.minaf6c.js	(from https://khushii.org/)
18:54:34	11224/11224	---M-Z	200	added ('OK')	text/javascript	etag:%222bd8-5ce187dd1ed40-gzip%22	https://khushii.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/khushi/khushii.org/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://khushii.org/)
18:54:35	129/129	---M-Z	200	added ('OK')	text/javascript	etag:%2281-5d1c0e08fcdc0-gzip%22	https://khushii.org/wp-content/plugins/add-to-any/addtoany.min.js?ver=1.1	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/plugins/add-to-any/addtoany.min4963.js	(from https://khushii.org/)
18:54:35	12917/12917	---M-Z	200	added ('OK')	text/javascript	etag:%223275-5ce9abadec3c0-gzip%22	https://khushii.org/wp-content/plugins/responsive-lightbox/assets/swipebox/jquery.swipebox.min.js?ver=2.3.3	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/plugins/responsive-lightbox/assets/swipebox/jquery.swipebox.minb6db.js	(from https://khushii.org/)
18:54:35	19076/19076	---M-Z	200	added ('OK')	text/javascript	etag:%224a84-5ce187dd1ed40-gzip%22	https://khushii.org/wp-includes/js/underscore.min.js?ver=1.13.1	C:/My%20Web%20Sites/khushi/khushii.org/wp-includes/js/underscore.min0028.js	(from https://khushii.org/)
18:54:35	25830/25830	---M-Z	200	added ('OK')	text/javascript	etag:%2264e6-5ce9abadec3c0-gzip%22	https://khushii.org/wp-content/plugins/responsive-lightbox/assets/infinitescroll/infinite-scroll.pkgd.min.js?ver=5.8.6	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/plugins/responsive-lightbox/assets/infinitescroll/infinite-scroll.pkgd.min6281.js	(from https://khushii.org/)
18:54:36	26856/26856	---M-Z	200	added ('OK')	text/javascript	etag:%2268e8-5ce9abadec3c0-gzip%22	https://khushii.org/wp-content/plugins/responsive-lightbox/js/front.js?ver=2.3.3	C:/My%20Web%20Sites/khushi/khushii.org/wp-content/plugins/responsive-lightbox/js/frontb6db.js	(from https://khushii.org/)
18:54:36	13260/13260	---MCZ	200	added ('OK')	application/json	date:Sun,%2022%20Jan%202023%2013:24:40%20GMT	https://khushii.org/wp-json/wp/v2/pages/3098	C:/My%20Web%20Sites/khushi/khushii.org/wp-json/wp/v2/pages/3098.json	(from https://khushii.org/)
18:54:36	198290/198290	---MCZ	200	added ('OK')	application/json	date:Sun,%2022%20Jan%202023%2013:24:40%20GMT	https://khushii.org/wp-json/	C:/My%20Web%20Sites/khushi/khushii.org/wp-json/index.html	(from https://khushii.org/)
18:54:36	780/780	---M-Z	200	added ('OK')	text/xml	date:Sun,%2022%20Jan%202023%2013:24:40%20GMT	https://khushii.org/xmlrpc.php?rsd	C:/My%20Web%20Sites/khushi/khushii.org/xmlrpc0db0.php	(from https://khushii.org/)
